FILE_NAME,DATA_TYPE,SITE,INV_NO,CUSTOMER_ID,CARD_CD,TRANS_DATE,ARTICLE,ART_NAME,ART_NO,BARCODE,DIVISION,DEPARTMENT,SUB_DEPT,CLASS,SUB_CLASS,SUPPL_NAME,BRAND,SALE_QTY,SALE_INVAT,SALE_EXVAT,GP_AMT,GP_P
RF123_D1_SALES_ST,D,17002 Palm Island,103017226F,2221000011163,,02-01-2023,102734355-0,PFP กุ้งบาร์บีคิว 500 กรัม,102734355,8852014052108,05 FRESH FOOD,0570 FROZEN,057090 DEEP FRIED,05709004 DEEP FRIED OTHER,0570900401 OTHER,6600112 : พี.เอฟ.พี.เทรดดิ้ง บจก. (MM_FOOD),PFP,1.000,96.000,89.720,18.3600000000000000,20.4600000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009540F,2223000119053,,02-01-2023,102811990-0,โค้ก 450 มล.,102811990,8851959158012,04 DRY FOOD,0440 BEVERAGE,044010 CARBONATED DRINK,04401001 SOFT DRINK,0440100101 COLA,6600331 : ไทยน้ำทิพย์ คอร์ปอเรชั่น บจก. (MM_F,COKE,1.000,16.000,14.950,1.7200000000000000,11.5100000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009533F,2222000068336,,02-01-2023,102823642-0,กรีนแกนิคล้างผักและผลไม้260มล.,102823642,8858558020009,04 DRY FOOD,0470 HOUSEHOLD,047020 CLEANER,04702005 MULTI.PURP.CLEA,0470200501 MULTI-PURPOSE LIQUID,6003591 : เอที คอสเมติค (ประเทศไทย) บจก.,GREEN GANIC,1.000,69.000,64.490,16.1200000000000000,25.0000000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102019365,2221000000018,,02-01-2023,102832497-0,ทิปโก้น้ำแครนเบอรรี่ 1000มล.P3,102832497,8851013768430,04 DRY FOOD,0440 BEVERAGE,044020 NON- CARBONATED DRINK,04402004 JUICE,0440200406 PREMIUM (100%),6600190 : ดีเคเอสเอช (ประเทศไทย) บจก. AURA_MM,TIPCO,1.000,155.000,144.860,-36.2200000000000000,-25.0000000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009559F,2222000040095,,02-01-2023,102863793-0,คิวพีน้ำสลัดซีซาร์1ลิตร,102863793,8852022032970,04 DRY FOOD,0430 SALTED GROCERY,043040 COOKING INGRED.,04304005 DRESSINGS,0430400504 SALAD DRESSINGS,6600176 : สหพัฒนพิบูล บมจ. (มาม่า) MM_FOOD,KEWPIE,1.000,245.000,228.970,25.0000000000000000,10.9200000000000
RF123_D1_SALES_ST,D,17002 Palm Island,103017223F,2222000041556,,02-01-2023,102878820-0,เห็ดชิเมจิดำ 150 กรัม,102878820,2000007323995,05 FRESH FOOD,0530 PRODUCE,053030 VEGETABLES,05303007 IMPORT,0530300703 MUSHROOM,6600013 : ฟาร์มเห็ดระยองแอนด์วีวีไบโอเทค บจก.,OTHER,1.000,18.000,18.000,7.2900000000000000,40.5000000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009516F,2222000090082,,02-01-2023,102878842-0,MM_บวบเหลี่ยม กก.ละ,102878842,0265408000001,05 FRESH FOOD,0530 PRODUCE,053030 VEGETABLES,05303003 FRUIT-VEGETABLE,0530300304 GOURD,6600008 : คิงส์ วิช บจก. (MM_FOOD),MM,0.976,53.680,53.680,9.1900000000000000,17.1200000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102019352,2221000000018,,02-01-2023,102878856-0,ใบโหระพา150กรัมแพ็ค,102878856,2000007324190,05 FRESH FOOD,0530 PRODUCE,053030 VEGETABLES,05303005 HERB&SPICYES,0530300501 CORIANDER,6600008 : คิงส์ วิช บจก. (MM_FOOD),OTHER,1.000,33.000,33.000,7.8600000000000000,23.8200000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102019388,2221000000018,,02-01-2023,102878869-0,มะนาว 10 ลูก แพ็ค,102878869,2000007324282,05 FRESH FOOD,0530 PRODUCE,053030 VEGETABLES,05303003 FRUIT-VEGETABLE,0530300310 OTHER,6600008 : คิงส์ วิช บจก. (MM_FOOD),OTHER,1.000,40.000,40.000,3.0000000000000000,7.5000000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102019363,2221000000018,,02-01-2023,102878957-0,AFM ชีสบอล 500ก,102878957,8858657200944,05 FRESH FOOD,0570 FROZEN,057090 DEEP FRIED,05709004 DEEP FRIED OTHER,0570900401 OTHER,6600001 : ธาริกัน ฟู้ดส์ บจก. (MM_FOOD),OTHER,1.000,109.000,101.870,20.1300000000000000,19.7600000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009488F,2222000066322,,02-01-2023,102912011-0,ไทซอสน้ำจิ้มไก่ 5000ก.,102912011,8853026002952,04 DRY FOOD,0430 SALTED GROCERY,043040 COOKING INGRED.,04304003 PREPARED SAUCES,0430400306 CHILLI DIPPING,6600270 : โกลเด้นฮาร์เวสท์(ประเทศไทย) บจก.MM,OTHER,1.000,185.000,172.900,43.2300000000000000,25.0000000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009499F,2221000017350,,02-01-2023,102919241-0,ICFหอยเชลล์1/2ฝาเนยกระเทียมชีส,102919241,8858887776165,05 FRESH FOOD,0570 FROZEN,057032 FROZEN SEAFOOD,05703204 SHELL,0570320401 SHELL,6600011 : เซ้าท์แลนด์ อินเตอร์เทรด บจก. MM_FS,OTHER,1.000,79.000,73.830,23.8300000000000000,32.2800000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009540F,2223000119053,,02-01-2023,102932331-0,สไตร์กิ้งโลลี่ป๊อปสตรอฯ13.8ก,102932331,4895138305709,04 DRY FOOD,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,6600300 : ผิงก้วน เน็ตเวิร์ค บจก.(MM_FOOD),OTHER,1.000,35.000,32.710,18.8100000000000000,57.5100000000000
